Ph-id,C-id,Local_lat,Local_long,Region,Division,Subregion,Area/Kingdom,Culture,Culture_loc,Ph_cid,Audio_notes,Duration,Audio_file,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Lyrics,Living_metadata,Recorded_by,Year,Publisher,Publcation_collection,Repository,Classification_notes,Metadata_notes,Sources,Source Tag
311,9259,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima,"Former Ankole District, Uganda",11342,,0:01:19,T5521R79,T1244.1; WFS2B.18,A Fight by a Waterhole,Topical Song; Historical Song,Concerning dramatic incidents in the history of the Bahima in the 1950s,"Mangameishu, Nyinamaruba",Male Voice,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1244.1.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
316,446,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima Bahinda,"Former Ankole District, Uganda",11364,,0:05:58,T5442R01,T1245.1,Song About the Origin of the Royal Clan,Court Music; Historical Song; Song About Leadership,Court song,"Elderly female, member of the royal clan, lute",Female Voice; Lute,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1245.1.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
319,447,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima Bahinda,"Former Ankole District, Uganda",11364,,0:08:35,T5442R02,T1245.2,Song About the Royal Generation,Court Music; Song About Leadership,Court song. The singer is a member of the royal clan.,"Elderly female, lute",Female Voice; Lute,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1245.2.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
315,448,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima Bahinda,"Former Ankole District, Uganda",11364,,0:04:43,T5442R03,T1245.3,Song to Dance by with Vocal Instrumentation,Dance Song,"Males sing in unison, mostly on one note, while a male leader intermittently recites text",Two BaHinda court singers interweaving their voices,2 Female Voices,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1245.3.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
313,449,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima Bahinda,"Former Ankole District, Uganda",11364,,0:08:32,T5442R04,T1245.4,Love Song,Love Song; Narrative Song,"Narrative song, sung by the mother of a younger woman","Female solo, lute",Female Voice; Lute,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1245.4.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
422,658,43.03,-1.91,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,"Uitzi, Nevarra, Spain",11804,Old audio file # T5462R24,0:00:55,T5587R01,"7D6.A10, first song; CHB4B2.29",Bentara Noa,"Artaxuriketa -corn-shucking song, group work song",First of three short songs sung at this session by young girls while gathering  for a corn shucking bee.,"Andresa Ariztimuño (Apezenea), Mikaela Ariztimuño (Apezenea), Engrazia Ariztimuño (Etxeberria), Maria Josefa Araniguria (Maisuenea), Txarito Araniguria (Maisuenea), Rosario Zabaleta (Baztarrika): voices",Girls' Voices,"Bentara noa, bentatik nator./ Bentan det nik nire gogoa.
Hango arrosa klabelinetan. / Hartu det nik amodioa.

Zu eder eta ni galant eta / Ederretan det nik nire gogoa.
Ederrenetan galantena da / Kattalin presentekoa.

Honek amorez behar emen du / Bera den bezalakoa.
 Bera ona da ta hobia luke. / Martintxo Aizarrenekoa.


Translation:

I’m going to the Venta, I’m coming from the Venta,
in the Venta I have my thoughts.
Between the roses and carnations there, I have my love.
You are beautiful and I’m a gallant,
among the beautiful ones I have my thoughts.
The most elegant among the most beautiful,
Kattalin here.
She’d need a love / similar to her.
She’s good, and would prefer / Martintxo, the one from Aizarrenea.","BENTARA NOA/I’M GOING TO THE TRADING POST
Sung by Andresa Ariztimuño, Mikaela Ariztimuño, Engrazia Ariztimuño, Maria Josefa Araniguria, Txarito Araniguria and Rosario Zabaleta. Recorded in Uitzi, December 30, 1952. 1:16. W1.10

Bentara noa, Larre berrian and Gogoan nerabilen are three artaxuriketa, corn shucking songs sung by the young women during the winter, when young people of both sexes would get together to shuck the corn. These work sessions usually became song sessions, mostly with a courtship theme: the songs become a kind of game naming the young man who was attractive to each girl. As is customary, the girls who sang for Alan Lomax are identified by the names of their houses: Andresa Ariztimuño (Apezenea), Mikaela Ariztimuño (Apezenea), Engrazia Ariztimuño (Etxeberria), Maria Josefa Araniguria (Maisuenea), Txarito Araniguria (Maisuenea) and Rosario Zabaleta (Baztarrika).",Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952BentaraNoaLareBentianOyOanNera
425,659,43.13,-2.07,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,"Tolosa, Guipuzcoa, Basque Country, Spain",11804,,0:01:22,T5462R29,7D6.B3,Santa Ageda,"Saint's song, house visit song","Traditionally sung on the eve of St. Agatha's Day (Feb 4), when groups of young men go from house to house singing for drinks and money.",Unidentified male voices,Male Voices,"Dios te salve, jende noblia  / gabon jainkuak direla.
Legearekin kunpli dezagun  / Santa Ageda Bezpera.
Ospatu (de)zagun Ageda Deuna. / Bihar da Deun Ageda.
Ohitura ona piztutzearren, / honera etorri gera.
Dios te salve, jende nobla . . .
Koplatu nahiz zahar eta gazte / gabiltz gogoz atez, ate,
etxe honetan zorion hutsa, / betiko izan dezaten.
Dios te salve . . .
Oparitxua hartu degu ta / orain abia gaitian.
Ongi bizi izan urte askotan, / agur ikusi artian.

Translation:

God save you, noble people, / these are holy nights.
Let’s fulfill the law, / the fiesta of Saint Agatha.
Let’s celebrate Saint Agatha, / tomorrow is Saint Agueda’s Day,
to revive the tradition / we’ve come here.
God save you . . .
Singing old and young, we come happily from door to door,
may you be happy in this house / always.
We’ve received our gifts and / now we’re leaving.
Enjoy life for many years / till we see [each other] again.",,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952SantaAguida
421,660,43.32,-2.42,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,"Ondarroa, Biscay, Basque Country, Spain",11804,,0:02:01,T5462R25,7D6.B4,Neuk alboan daukat / Aitita dala Tutulumendi / Neure umia lo ta lo,Hiru Lo-Kanta - Lullabies,Three short lullabies sung by a fisherwoman; cradle heard in background,Unidentified woman,Female Voice,"(1) Neuk alboan daukat / papardu hau baino.
Maite go zaitudala zu. 
Neure maite arru (e)ta arru,  / gaur zoaz (e)ta bihar erdu.
Lo, lo, lo.

Translation:

With me I have / this beautiful little boy.
I love you so much / my love, ro, ro,
today you leave and you come back tomorrow. 
Sleep, sleep, sleep.

(2) Aitita dala Tutulumendi. / Amuma dala masusta.
Aita joan da Gasteizera. / Ama bidean galduta.
Lo, lo.

Translation:

Grandfather is Tutulumendi, 
Grandmother’s a sweetie [lit. blackberry],
Daddy’s gone to Vitoria / and Mommy’s lost her way.
Go to sleep, go to sleep.

(3) Neure umia lo ta lo / zeuk orain neuk gero. 
Biok batera lo egiteko,  / etxian inor ez dago, lo, lo.
Egizu lolotxu, lolotxu [spoken] , lo, lo, lo, lo

Translation:

My little child sleeping, sleeping, you sleep now, and I will later.
There’s no one[else] at home. 
Then we’ll both sleep. Lo, lo, dream a little dream.
[spoken], Sleep, sleep...",,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952Lo-Lo
429,939,43.03,-1.91,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,"Uitzi, Nevarra, Spain",11804,Old audio file # T5462R23,0:01:57,T5587R03,7D6.A8,San Juan Bezpera,"St Jean's Eve, house visit song","Song for St. John's Eve, house visit song incorporating compliments to the master of the house",Unidentified men,Male Voices,"Alabatua, bedeinkatua, / sakramentu santua.
Alabatua izan dedila, / berorren izen santua.
Gaur San Juan bezpera, / bihar San Juan Batiste,
Jesukristoren lengusuagaz / San Joan Ebanjeliste.
Han goien goien izarra, / erreka ondoan lizarra,
Etxe hontako nagusi jauna / urre gorrizko bizarra.
Urre gorrizko bizarra eta / zilarrekoa espalda,
Erreal txikiz eginik dauka / elizerako kaltzada.
Armarioan sague, / kontrarioa katue,
etxe hontako limosnarekin / ez de(g)u beteko zakue.
 Ia! Gabon! Gabon jauna! Iaaaaaa!

Translation:

Praised, blessed be the holy sacrament, the holy name.
Today is St John’s Eve, tomorrow St John’s Day,
Christ’s cousin, St John the Evangelist.
Up high is the star; next to the river is an ash tree.
The master of this house has a golden beard.
His beard is gold and his back is silver.
He’s had the road to the church / paved with small reales [coins].
A mouse in the cupboard, / and in the one opposite, a cat,
in this house, with alms, / we won’t fill even one bag.
Good night! Good night, Sir!   ",,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952SanJuanVesperan
428,2798,43.18,-1.45,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,"Erratzu, Navarra, Spain",11804,Old audio file # T5462R21,0:01:15,T5587R04,7D6.A5,"Xo, Xo, Mariaño","Comical song, drinking song",A rural couple from Erratzu sing a song about a drunken husband coming home.,"Jose Fagoaga, Maria Fagoaga",Male Voice; Female Voice,"Xo, xo Mariaño,
mozkorrak jinda naun gaur
Katuak miau,
zakurrak riau,
arnuak huntara ekarri nau.
Katuak miau,
zakurrak riau,
zer mila deabru ote duk hau?
 
Xo, xo, Mariaño,
Mozkorrak jinda naun gaur
Ailegatu naizela etxera.
Katuak, miauka,
zakurrak riauka
oilarrak pikoka,
astoak puzkaka,
ta andriak beti ezpalaz mintzo:
Gizon gokina, non habil?

Translation:

Hey, hey, Maria, today I get home completely drunk,
The cat’s meowing, the dog’s barking,
the wine’s laid me low.
The cat’s meowing, the dog’s barking,
What the devil’s going on?

Hey, hey, Maria, today I get home completely drunk,
The cat’s  caterwauling, the dog’s yapping.,
The rooster’s pecking, the donkey’s braying,
And the woman always finding fault:
“Hey, you bum, where are you?” ","XO, XO, MARIAÑO/HEY, HEY, MARIANO 
Sung by José y María Fagoaga. Recorded in Erratzu, January 2, 1953. 1:03. W1 5(4)",Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952Xo-XoMariana
423,,43.03,-1.91,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,"Uitzi, Nevarra, Spain",11804,,,,"7D6.A10, second song",Lare Bentian,"Artaxuriketa -corn-shucking song, group work song",Second of three short songs sung at this session by young girls while gathering  for a corn shucking bee.,"Andresa Ariztimuño (Apezenea), Mikaela Ariztimuño (Apezenea), Engrazia Ariztimuño (Etxeberria), Maria Josefa Araniguria (Maisuenea), Txarito Araniguria (Maisuenea), Rosario Zabaleta (Baztarrika): voices",Girls' Voices,,,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952BentaraNoaLareBentianOyOanNera
420,,,,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,,11804,,,,7D6.B2,Bersolari,Bertso: Improvised Song of the Basque Bertsolari - Song-Poets,,Pedro Anaytio,Male Voice,,,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952Bersolari
424,,,,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,,11804,,,,7D6.A6,Anna Egin Lo,,,Juanita Aspiraz,Female Voice,,,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952AnnaEginLo
426,,,,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,,11804,,,,7D6.A7,Jure Jamgoijoak,,,Andressa Arizkimuno,Female Voice,,,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952JureJamgoijoak
427,,,,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,,11804,,,,7D6.A1,Akerra Ikusi Degu,,,Mariano Iceta,Male Voice,,,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 6: The Spanish Basques. Westminister W-12018,@ALA1952AkerraIkusiDegu
327,2147,2.92,11.15,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,"Ebolowa, South Region, Cameroon",12783,,0:02:23,T5458R11,4A6.A2,Secret Society Initiation Song,Initiation Rite; Cult Song; Men's Song; Secret Society Song,Men's cult initiation song,"Male voice, drums, rattles, singing horn",Male Voice; Drums; Rattles; Singing Horn,,,Edwin Cozzens,1954,Smithsonian Folkways,"Bulu Songs from the Cameroons. Folkways Records FE4451, 1954","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"Code sheet 2147 codes singing horn, 'small instrument with a vibrating membrane, which functions like a kazoo':",http://www.folkways.si.edu/TrackDetails.aspx?itemid=12182,@FW1954BuluSongsFromTheCameroons
326,2148,2.92,11.15,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,"Ebolowa, South Region, Cameroon",12783,,0:01:48,T5458R10,4A6.A1,Dance Song 1,Dance Song; Work Song; Entertainment Song,"Multipurpose song for dance, work or pleasure","Male leader, alternating male chorus",Male Voices,,,Edwin Cozzens,1954,Smithsonian Folkways,"Bulu Songs from the Cameroons. Folkways Records FE4451, 1954","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=12181,@FW1954BuluSongsFromTheCameroons
324,2150,2.92,11.15,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,"Ebolowa, South Region, Cameroon",12783,,0:02:46,T5458R13,4A6.A4,Self-Praise Song 1,Self-Praise Song; Praise Song,"Minstrel's self-praise song, used to indicate that he is no ordinary person and to portray himself in a good light before his audience.","Male leader, mixed chorus, plucked fiddle, rattle",Male Voice; Mixed Voices; Plucked Fiddle; Rattle,,,Edwin Cozzens,1954,Smithsonian Folkways,"Bulu Songs from the Cameroons. Folkways Records FE4451, 1954","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"Code sheet 2150 correctly identifies excerpt as 4A6.A4, but mistitles it 'Folk tale' instead of 'Song of self-praise'",http://www.folkways.si.edu/TrackDetails.aspx?itemid=12184,@FW1954BuluSongsFromTheCameroons
329,2151,2.92,11.15,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,"Ebolowa, South Region, Cameroon",12783,,0:02:06,T5458R14,4A6.A5,Lament,Lament,Lament of one who has been left behind by loved ones,"Male voice, chorus",Male Voice; Voices,,,Edwin Cozzens,1954,Smithsonian Folkways,"Bulu Songs from the Cameroons. Folkways Records FE4451, 1954","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,Front page of coding sheet 2151 missing,http://www.folkways.si.edu/TrackDetails.aspx?itemid=12185,@FW1954BuluSongsFromTheCameroons
325,2154,2.92,11.15,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,"Ebolowa, South Region, Cameroon",12783,,0:03:30,T5458R17,4A6.A8,Women's Dance Song ,Dance Song,"Dance song with hand-clapping or sticks, usually performed in women-only gatherings","Female voices, clapping",Female Voices; Clapping,,,Edwin Cozzens,1954,Smithsonian Folkways,"Bulu Songs from the Cameroons. Folkways Records FE4451, 1954","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=12188,@FW1954BuluSongsFromTheCameroons
320,2155,2.92,11.15,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,"Ebolowa, South Region, Cameroon",12783,,0:02:25,T5458R18,4A6.A9,Palm Wine Drinking Song ,Drinking Song; Men's Song,Men's song for drinking palm wine,"Male voices, clapping",Male Voices; Clapping,,,Edwin Cozzens,1954,Smithsonian Folkways,"Bulu Songs from the Cameroons. Folkways Records FE4451, 1954","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=12189,@FW1954BuluSongsFromTheCameroons
