Society_latitude,Society_longitude,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People2,People3,Arensberglomax_clusters,Focal_years,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Koppen_climate_terrain,Koppen_code,Arensberglomax_taxon,Taxon_id,Language,Language_nearsubfamily,Language_largersubfamily,Language_family,Language_familytree,ISO6393,Glottocode,Country,Country_id,society_id,C_cid,M_cid,P_cid,Ph_cid,Ch_cid,dplace_id,EA_cu_name,EA_cu# UPDATE,Murdock_cu#,EA_Prov_name,EA_Prov_#,EA_#,Culture_Wiki,Society_summary,Notes_1,Notes_2,Culture Sources
-14.52,132.86,-14.96,133.23,Australia,Northern Territory,Arnhem Land,Roper R Reg,Rembarrnga,Barunga; Rembarunga; Kaltuy; Rainbargo; Rembarranga; Rembarrnga; Rembarrunga; Barung; Beswick Creek Settlement; ,Gunwinyguan Peoples,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1961-62,1,,,1,Tropical Savannah,Aw,,,Rembarunga,Jala,Gunwinyguan Bak,Gunwinyguan,"Arnhem, Gunwinyguan, Gunwinyguan Bak, Jala",ISO 639-3: rmb,remb1249,Australia,,30076,30076,,,30076,,,,,,,,,wiki,"The Rembarrnga, otherwise known as the Rembarunga, are an indigenous Australian people of the Northern Territory. The Rembarunga are a small aboriginal community who, after Europeans came, worked in the mines of Maranboy. When the mines closed in 1945 the community moved away, but returned when the government developed the area by building housing and schools and creating employment opportunities, including the beginnings of a peanut farm.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoremb1249 @Ethnormb @WikiRembarrnga  
-12.34,133.34,-11.59,133.58,Australia,Northern Territory,Coastal & Island West Arnhem,Arafura Sea,Kunwinjku,Gunwinggu; Bininj Gunwok; Mayali,Goulburn Islanders,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948; 1961-62,3,,,2,Tropical Savannah,Aw,,,Kunwinjku,Central Gunwinyguan,Marne,Gunwinyguan,"Arnhem, Gunwinyguan, Gunwinggic, Marne, Central Gunwinyguan, Bininj Kun-Wok",,gunw1252,Australia,,30073,30073,,,30073,,,GUNWIGGU,,,,,,wiki,Kunwinjku land lies in the area famous for traditional Aboriginal rock art. Artists belong to clans and visually represent the ancestral creation stories or ‘Dreamings’ of their clan. Each clan has an estate where they hunt and gather edible plants and other necessities. Ancestral beings are believed to have created the features of the land. Spirits that animate an individual’s life reside there and at their death the spirit goes back to a Dreaming place. ,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottogunw1252  @WikiGunwinggu  
-11.84,133.19,-11.59,133.58,Australia,Northern Territory,Coastal & Island West Arnhem,Arafura Sea,Maung,Mawung; Mawng; Gun-marung; Warruwi,Goulburn Islanders,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,3,2,,1,Tropical Savannah,Aw,,,Mawng,Mawng,Mawng,Iwaidjan Proper,"Iwaidjan, Iwaidjan Proper",ISO 639-3: mph,maun1240,Australia,,30084,30084,30084,,30084,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomaun1240 @Ethnomph @WikiMaung  
-16.77,132.33,-13.55,130.38,Australia,Northern Territory,N Coast,Victoria Daly Reg,Mudburra,Mudbara; Mudbura,Mudburra,,Indigenous Australians,,,,,,1,Tropical Savannah,Aw,,,Mudbura,Ngumpin-Yapa,Desert Nyungic,Pama-Nyungan,"Pama-Nyungan, Desert Nyungic, Ngumpin-Yapa, Ngumpin, Gurindjic",,mudb1240,Australia,,62549,,,,62549,,,,,,,,,wiki,,,,@Murdock1968WorldSamplingProvinces @Koppen2006UpdatedWorldMap @Glottomudb1240 @WikiMudburra
-14.25,129.54,-14.25,129.51,Australia,Northern Territory,N Coast,Wadeye Area,Magatige,Maritige; Muringata; Muringe; Berinken; Berinkin; Berringin; Brinken; Brinkan; Mati Ke ,Magatige,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,5,1,,3,Tropical Savannah,Aw,,,Maringarr-Matige,Maringarr-Matige,Bringen,Western Daly,"Western Daly, Bringen",,mari1418,Australia,,30074,30074,30074,,30074,,,MAGATIGE,,,,,,wiki,"The Magatige people are aboriginal Australian people. Their ancestral lands are located in the Wadeye region in the Northern Territory. ""The grouping term Brinken (Brinkin) was used to describe language groups... from the Moyle River south to the Fitzmaurice, including speakers of Magati Ge, Marri Ngarr and Murrinh-patha, amongst others."" (Barwick & Marett) The Magatige's native language is in danger of extinction. The Magatige live along a coastal strip on the north side of Port Keats in Australia near the Moyle River swamplands. The area is inundated seasonally and has an abundance of fish and bird species. ",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomari1418  @WikiMatiKe  @BarwickMarett2011AuralSnapshots
28.99,-112.38,29.55,-110.56,Central America,Mexico,N Mexico,Sonora,Seri,Comcaac,Seri,,Mexico Indigenous Peoples,Nuclear America,1944,10,10,,10,Warm Desert,BWh,HF-Arctic,scfal158,Seri (language isolate),Seri (language isolate),Seri (language isolate),Seri (language isolate),Isolated language,ISO 639-3: sei,seri1257,Mexico,,25246,25246,25246,,25246,25246,,SERI,Ni4,25246,Northwest Mexico,163,40546,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoseri1257 @Ethnosei @WikiSeri  
43.28,-1.32,43.12,-2.35,Europe,Southern Europe,N Spain,Basque Aut. Community & Navarre,Spanish Basques,Euskaldunak; Vascos; Bascos,Basque Peoples,Northern Iberians,Latin Peoples,Old Europe,1952,11,10,1,10,Temperate No Dry Season/ Warm Summer,Cfb,PA-Europe,scfal1091,Basque (language isolate),Basque (language isolate),Basque (language isolate),Basque (language isolate),Isolated language,ISO 639-3: eus,basq1248,Spain,,11804,11804,11804,11804,11804,11804,,BASQUES,Ce8,11804,Southern Europe,56,7214,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobasq1248 @Ethnoeus @WikiBasques  
42.66,-6.01,42.62,-5.97,Europe,Southern Europe,N W Spain,Leonese Reg,Leon,,Astorgans,Central Iberians,Latin Peoples,Western Europe,1952,3,1,,9,Temperate Dry Summer/ Warm Summer,Csb,,,Leonese,Asturo-Leonese,Latinic,Indo-European,"Indo-European, Italic, Latinic, Romance, Western Romance, West Ibero-Romance, Asturian-Leonese-Cantabrian",,leon1250,Spain,,26005,26005,26005,,26005,,,SPANIARDS,Ce6,19830,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoleon1250  @WikiLeon  
36.53,-6.28,37.23,-5.19,Europe,Southern Europe,S Spain,Andalusia,Cadiz,Andalucia,Andalusians,S Spanish,Latin Peoples,Old Eurasia,1952,3,3,,3,Temperate Dry Summer/ Hot Summer,Csa,PA-Europe,scfal1087,Andalusian,Castilic,Latinic,Indo-European,"Indo-European, Italic, Latinic, Romance, Western Romance, West Ibero-Romance, Castilic, Spanish",,anda1279,Spain,,10572,10572,10572,,10572,10572,,SPANIARDS,Ce6,10572,,,19497,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoanda1279  @WikiCadiz  
37.88,-4.78,37.23,-5.19,Europe,Southern Europe,S Spain,Andalusia,Córdoba,,Andalusians,S Spanish,Latin Peoples,,,,,,1,Temperate Dry Summer/ Hot Summer,Csa,,,Andalusian,Castilic,Latinic,Indo-European,"Indo-European, Italic, Latinic, Romance, Western Romance, West Ibero-Romance, Castilic, Spanish",,anda1279,Spain,,62547,,,,62547,,,SPANIARDS,Ce6,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoanda1279 @WikiCordoba
37.19,-3.6,37.23,-5.19,Europe,Southern Europe,S Spain,Andalusia,Granada,,Andalusians,S Spanish,Latin Peoples,,1952,1,,,1,Temperate Dry Summer/ Hot Summer,Csa,,,Andalusian,Castilic,Latinic,Indo-European,"Indo-European, Italic, Latinic, Romance, Western Romance, West Ibero-Romance, Castilic, Spanish",,anda1279,Spain,,62415,62415,,,62415,,,SPANIARDS,Ce6,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoanda1279  @WikiGranada  
37.38,-5.97,37.23,-5.19,Europe,Southern Europe,S Spain,Andalusia,Seville,,Andalusians,S Spanish,Latin Peoples,,1952;,8,6,,6,Temperate Dry Summer/ Hot Summer,Csa,,,Andalusian,Castilic,Latinic,Indo-European,"Indo-European, Italic, Latinic, Romance, Western Romance, West Ibero-Romance, Castilic, Spanish",,anda1279,Spain,,62416,62416,62416,,62416,,,SPANIARDS,Ce6,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoanda1279  @WikiSeville  
70.45,-106.42,64.89,-109.01,North America,Canada,C Canadian Arctic,Nunavut/ N W Territories,Inuinnait,Kitlinermiut; Copper Inuit; C Eskimo,Central Inuit,Inuits,Arctic Indigenous Peoples,Circum-Pacific Hunter/ Foragers,1956,7,,,10,Tundra,ET,HF-Arctic,scfal135,Inuinnaqtun,Western Canadian Inuktitut,Inuit,Eskimo-Aleut,"Eskimo-Aleut, Eskimo, Inuit, Western Canadian Inuktitut",,copp1244,Canada,,14070,14070,,,14070,,,INUIT:COPPER,Na3,14070,Central and Eastern Eskimo,133,63030,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap   @WikiCopperInuit  @Glottocopp1244
51.24,-110.46,59.72,-106.13,North America,Canada,Canadian Plains,Alberta/ Manitoba/ N W Territories/ Ontario/ Saskatchewan,Nehiyaw (Plains Cree),Nēhilawē; Cree; Nēhiyaw,Montagnais-Naskapi Cree,W Algonguian Peoples,Plains Peoples,Circum-Pacific Hunter/ Foragers,1951-53;,9,,,8,Temperate Continental/ Humid,Dfb,HF-Plains,scfal265,Plains Cree,Cree-Montagnais-Naskapi,Algonquian-Blackfoot,Algic,"Algic, Algonquian, Cree-Montagnais-Naskapi",ISO 639-3: cre,plai1258,Canada,,14125,14125,,,14125,,,PLAINS CREE,Ne19,14125,Northern Plains,150,53596,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottocree1272 @Ethnocre @WikiCree  
46.78,-89.06,45.86,-84.73,North America,United States,Great Lakes/ Midwest,Great Lakes,N European American Lumberjack,Loggers; Woodsmen,Northern U.S. White,North Europeans,,,1938; 1952-4,1,,,7,Temperate Continental/ Humid,Dfb,,,Northern North American English,Anglic,Germanic,Indo-European,"Indo-European, Germanic, Anglo-Frisian, Anglic, Macro-English, English, North American English",,nort3316,United States,,62548,62548,,,62548,,,,,,,,,wiki,,,,@Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottonort3316 @WikiLumberjack
43.67,-70.27,45.5,-69,North America,United States,Northeast US,Maine,Coastal Mainers,,New England White,,,,,,,,2,Humid continental climate,Dfb,,,Eastern New England English,Anglic,Germanic,Indo-European,"Indo-European, Germanic, Anglo-Frisian, Anglic, Macro-English, English, North American English",,east2835,United States,,62546,,,,62546,,,,,,,,,wiki,,,,@Murdock1968WorldSamplingProvinces @Koppen2006UpdatedWorldMap @Glottoeast2835 @WikiMaine
46.25,-114.16,44.63,-111.06,North America,United States,Northwest US,Rocky Mts,Bitterroot Salish,Flathead; Salish; Selish,Salish,,Plateau Indigenous Peoples,Circum-Pacific Hunter/ Foragers,1950,10,10,,10,Semi-arid Steppe/ Cold,BSk,HF-Plains,scfal253,Salishan (also known as Salish),Salishan,Salishan,Salishan,Salishan,,sali1255,United States,,15368,15368,15368,,15368,,,FLATHEAD,Nd12,15368,Northern Plateau,149,2108,wiki,"One of the easternmost tribes of the people comprising the Salish language family. In the traditional way of life, they gathered roots from early spring through the growing season and survived the seasons and the changes that came to them in closely knit families and tribes, sharing the burdens of survival as well as the joys of  life in their dances, music, games, and all-important story-telling.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottosali1255  @WikiBitterrootSalish  
32.59,-88.19,32.92,-86.98,North America,United States,Southeast US,Alabama,Alabama Black,,Deep South African Americans,,West & Central African Peoples,,1937; 1940; 1959,4,,1,13,Warm Oceanic Humid Subtropical,Cfa,,,Southern American English,Anglic,Germanic,Indo-European,"Indo-European, Germanic, Anglo-Frisian, Anglic, Macro-English, English, North American English",,sout3302,United States,,62423,62423,,62423,62423,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottosout3302  @WikiAlabamaAfricanAmericans  
36.53,-82.71,36.53,-82.71,North America,United States,Southeast US,Appalachia,Appalachia,Country,Appalachian White ,,Celtic/ Anglo-Saxon Peoples,Western Europe,1927; 1928; 1929; 1930; 1936; 1937; 1939; 1941; 1946; 1956; 1957; 1958; 1959; 1960; 1962; 1999,37,6,4,15,Warm Oceanic Humid Subtropical,Cfa,PA-Europe,scfal1107,Southern American English,Anglic,Germanic,Indo-European,"Indo-European, Germanic, Anglo-Frisian, Anglic, Macro-English, English, North American English",,sout3302,United States,,18349,18349,18349,18349,18349,18349,,US SOUTH:WHITE; HILLBILLY,,18349; 16765,,,44359; 32065,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottosout3302  @WikiAppalachia  
30.08,-94.13,31.24,-99,North America,United States,Southeast US,East Texas,Texas Black,,Texas African Americans,,West & Central African Peoples,,1930; 1939; 1951,5,,,6,Warm Oceanic Humid Subtropical,Cfa,,,Texas South English,Anglic,Germanic,Indo-European,"Indo-European, Germanic, Anglo-Frisian, Anglic, Macro-English, English, North American English, Southeast American English",,texa1234,United States,,62438,62438,,,62438,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap  @WikiTexasAfricanAmericans  @Glottotexa1234
34.2,-90.57,33.78,-90.71,North America,United States,Southeast US,Mississippi Delta,MS Delta Black,,Delta African Americans,,West & Central African Peoples,Tropical Gardeners,1928; 1929; 1931; 1934; 1936; 1940; 1941; 1942; 1947; 1948; 1959; 1960; 1966; 1970; 1978; 1981,30,,,14,Warm Oceanic Humid Subtropical,Cfa,PA-Europe,scfal1125,Southeast American English,Anglic,Germanic,Indo-European,"Indo-European, Germanic, Anglo-Frisian, Anglic, Macro-English, English, North American English",,sout3300,United States,,24619,24619,,,24619,24619,,U.S SOUTH:BLACK,,24619,,,11104,wiki,"Africans were brought as slaves to Mississippi even before it became a state in 1817. White planters controlled the richest land along the Mississippi River and the economy based on the export of cotton increased the need for slaves. After the Civil War, many freedmen migrated to the Mississippi Delta and bought land there. Most lost their land in the early 1900s due to segregation, financial crises and decline of cotton prices.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottosout3300  @WikiMississippiDelta @WikiClarksdale  
36.21,-110.08,37.01,-109.05,North America,United States,Southwest US,Arizona/ Utah/ New Mexico,Diné (Navaho),Navajo; Diné; Naabeehó; Navaho; Dene,Navajo S Athabaskan,,Southwest Indigenous Peoples,Circum-Pacific Hunter/ Foragers,1949; 1961; 1963; 1969; 1940-50,15,9,1,10,Temperate Continental/ Humid,Dfb,I-Desert,scfal376,Navajo,Apachean,Athabaskan,Athapaskan-Eyak-Tlingit,"Athapaskan-Eyak-Tlingit, Apachean",ISO 639-3: nav,nava1243,United States,,22243,22243,22243,22243,22243,22243,,NAVAHO,Nh3,22243,Pueblo-Navaho,162,58198,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottonava1243 @Ethnonav @WikiNavajo  
36.47,-105.56,34.12,-106.53,North America,United States,Southwest US,New Mexico,Taos,,Tanoan Pueblo,,Southwest Indigenous Peoples,Circum-Pacific Hunter/ Foragers,1941; 1958; 1960; 1980s,11,,,11,Semi-arid Steppe/ Cold,BSk,I-Pueblo,scfal409,Taos,Taos-Picuris,Tiwa-Piro,Kiowa-Tanoan,"Kiowa-Tanoan, Tiwa, Taos-Picuris, Taos Northern Tiwa",,taos1236,United States,,26577,26577,,,26577,26577,,TAOS,Nh6,26577,Apache-Tanoan,161,53607,wiki,"Since ca 1200 C.E, the Taos Pueblo, a Tiwa speaking people, have lived at the base of Taos Mountain in N. New Mexico, where the Great Pueblo Revolt of 1680 was planned. In 1971, the U.S. Government gave the Blue Lake region back to the Taos tribe, the first time in U.S. history that land had been returned to a Native tribe on the basis of religious freedom.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotaos1236  @WikiTaosPueblo  
